Rooms,Type,Price,Method,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude
3,u,605000.0,S,13.8,3.0,2.0,2.0,230.0,,,-37.8646,144.827
3,t,705000.0,S,13.8,3.0,2.0,2.0,197.0,152.0,,-37.8579,144.8181
2,u,391000.0,SP,13.8,2.0,1.0,1.0,0.0,65.0,1965.0,-37.8678,144.8384
2,u,440000.0,SP,13.8,2.0,1.0,1.0,0.0,,,-37.8659,144.83100000000005
4,h,845000.0,S,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,-37.8658,144.8155
3,t,743000.0,SP,13.8,3.0,2.0,2.0,211.0,176.0,,-37.8698,144.816
3,u,730000.0,SP,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,-37.868,144.8286
3,h,635000.0,S,13.8,3.0,1.0,4.0,625.0,,1960.0,-37.8611,144.8114
2,u,620000.0,SP,13.8,2.0,1.0,1.0,168.0,,,-37.8676,144.8202
2,u,447000.0,S,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,-37.8655,144.8299
3,u,730000.0,SP,13.8,3.0,2.0,1.0,70.0,,,-37.868,144.8287
3,h,678000.0,S,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,-37.8608,144.8124
2,u,580000.0,PI,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,-37.8687,144.8268
3,h,712000.0,S,13.8,3.0,1.0,2.0,363.0,,,-37.8674,144.8375
3,h,840000.0,SP,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,-37.86,144.8245
3,h,980000.0,S,13.8,3.0,1.0,2.0,724.0,,,-37.8672,144.817
3,t,605100.0,S,13.8,3.0,2.0,0.0,265.0,,,-37.8583,144.8172
3,h,880000.0,PI,13.8,3.0,3.0,1.0,577.0,,,-37.8699,144.8235
3,u,577000.0,S,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,-37.8684,144.815
4,h,1030000.0,S,13.8,4.0,1.0,0.0,797.0,,,-37.8663,144.8387
3,u,605000.0,S,13.8,3.0,1.0,2.0,181.0,,,-37.8659,144.822
3,h,753000.0,S,13.8,3.0,2.0,2.0,529.0,,,-37.8612,144.8247
2,h,857000.0,SP,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,-37.8653,144.8129
3,h,1500000.0,S,13.8,3.0,1.0,1.0,929.0,,,-37.8651,144.832
3,u,730000.0,SP,13.8,3.0,2.0,1.0,70.0,3.0,2014.0,-37.868,144.8285
3,h,900000.0,S,13.8,3.0,1.0,4.0,697.0,,,-37.871,144.8075
3,h,740000.0,S,13.8,3.0,1.0,2.0,604.0,,,-37.8631,144.8195
4,h,931000.0,S,13.8,4.0,2.0,3.0,532.0,,1970.0,-37.8637,144.8365
2,h,535600.0,SP,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,-37.8646,144.8272
5,h,1085000.0,S,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,-37.8388,144.8567
3,h,781000.0,S,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,-37.8291,144.835
3,h,750000.0,SP,11.1,3.0,1.0,3.0,554.0,,,-37.8449,144.85
2,t,421000.0,S,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,-37.8351,144.8529
3,h,1405000.0,S,11.1,3.0,1.0,3.0,655.0,,,-37.8338,144.8562
3,h,683000.0,S,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,-37.8284,144.8355
3,h,623000.0,S,11.1,3.0,1.0,3.0,540.0,,,-37.8267,144.8368
3,h,720000.0,VB,11.1,3.0,2.0,1.0,0.0,130.0,2012.0,-37.8379,144.8583
3,h,588000.0,S,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,-37.838,144.8555
3,h,710000.0,PI,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,-37.8294,144.8378
4,h,875000.0,SP,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,-37.8448,144.8529
3,h,700000.0,VB,11.1,3.0,1.0,3.0,554.0,,,-37.8449,144.85
2,t,640000.0,S,11.1,2.0,1.0,1.0,252.0,,1965.0,-37.8397,144.8602
4,h,650000.0,SP,11.1,4.0,1.0,4.0,558.0,,,-37.8451,144.8529
3,h,675000.0,S,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,-37.8337,144.8554
3,h,708000.0,S,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,-37.8258,144.8523
4,h,965000.0,SP,11.1,4.0,1.0,4.0,851.0,,,-37.8345,144.8444
3,h,680000.0,S,11.1,3.0,1.0,3.0,551.0,,,-37.8254,144.8514
3,h,770000.0,SP,11.1,3.0,1.0,3.0,602.0,603.0,,-37.8327,144.8451
3,h,923000.0,S,11.1,3.0,1.0,2.0,740.0,,,-37.8269,144.8455
4,h,693000.0,SP,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,-37.8391,144.8467
3,h,620000.0,SP,11.1,5.0,2.0,2.0,276.0,100.0,2010.0,-37.8262,144.8443
3,h,728500.0,S,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,-37.8277,144.8385
3,h,931000.0,S,11.1,3.0,2.0,1.0,590.0,160.0,1950.0,-37.8382,144.8649
3,h,988000.0,S,11.1,3.0,1.0,4.0,715.0,,2008.0,-37.8423,144.8632
3,h,590000.0,S,11.1,3.0,1.0,2.0,561.0,,,-37.8444,144.8491
2,h,610000.0,S,11.1,2.0,1.0,2.0,691.0,,,-37.834,144.8553
3,h,815000.0,S,11.1,3.0,2.0,3.0,555.0,130.0,1960.0,-37.8318,144.8388
4,h,970000.0,S,11.1,4.0,1.0,2.0,708.0,,,-37.833,144.8494
4,h,760000.0,S,11.1,4.0,1.0,3.0,668.0,,,-37.8262,144.8439
4,t,847500.0,S,11.1,4.0,3.0,1.0,252.0,,,-37.8393,144.8568
4,h,1200000.0,SP,11.1,4.0,1.0,4.0,633.0,158.0,1960.0,-37.8375,144.8541
3,h,700000.0,SP,11.1,3.0,1.0,1.0,557.0,,,-37.8441,144.8505
3,h,625000.0,PI,11.1,3.0,1.0,1.0,536.0,,,-37.8285,144.8351
2,u,292000.0,S,11.1,2.0,1.0,1.0,153.0,70.0,1970.0,-37.8332,144.8649
2,u,599000.0,S,6.3,2.0,1.0,1.0,0.0,76.0,1964.0,-37.8543,145.0262
2,u,550000.0,VB,6.3,2.0,1.0,0.0,861.0,,,-37.8539,145.0284
3,u,995000.0,S,6.3,3.0,2.0,2.0,0.0,100.0,1998.0,-37.8552,145.016
3,t,1205000.0,S,6.3,3.0,2.0,2.0,101.0,105.0,2000.0,-37.854,145.0135
3,h,1939000.0,S,6.3,3.0,2.0,2.0,296.0,150.0,1889.0,-37.8614,145.0274
1,u,421500.0,S,6.3,1.0,1.0,0.0,0.0,,,-37.853,145.0167
3,h,1870000.0,S,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,-37.8592,145.0182
2,u,678000.0,S,6.3,2.0,1.0,2.0,0.0,,,-37.8538,145.0127
3,t,1918000.0,SP,6.3,3.0,2.0,2.0,0.0,165.0,1995.0,-37.8537,145.0267
2,u,660000.0,SP,6.3,2.0,1.0,1.0,0.0,,,-37.8619,145.0257
3,h,2050000.0,S,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,-37.8574,145.0281
2,u,700000.0,VB,6.3,2.0,1.0,2.0,0.0,,,-37.8552,145.016
2,u,3625000.0,S,6.3,3.0,2.0,2.0,0.0,,2006.0,-37.8555,145.0291
4,h,3000000.0,VB,6.3,4.0,2.0,2.0,1581.0,,1934.0,-37.858,145.0111
5,h,1525000.0,PI,6.3,8.0,2.0,2.0,693.0,,,-37.8638,145.0229
3,u,735000.0,PI,6.3,3.0,2.0,1.0,2113.0,14.0,1970.0,-37.8543,145.0262
2,u,825000.0,S,6.3,2.0,1.0,1.0,0.0,,,-37.8528,145.0268
3,t,1586000.0,S,6.3,2.0,2.0,2.0,246.0,,,-37.8566,145.0116
2,u,645000.0,S,6.3,3.0,1.0,1.0,0.0,,1960.0,-37.8596,145.0198
1,h,1435000.0,SP,6.3,2.0,2.0,1.0,144.0,107.0,1900.0,-37.8564,145.0228
1,u,280000.0,PI,6.3,1.0,1.0,1.0,0.0,38.0,1975.0,-37.8619,145.0185
1,u,400000.0,PI,6.3,1.0,1.0,1.0,0.0,,,-37.8605,145.0185
2,h,1780000.0,S,6.3,2.0,2.0,2.0,0.0,,,-37.8537,145.0267
2,u,592500.0,S,6.3,2.0,1.0,1.0,0.0,73.0,1970.0,-37.8574,145.0174
2,h,1210000.0,S,6.3,2.0,1.0,0.0,249.0,96.0,1910.0,-37.8543,145.016
4,h,2801000.0,S,6.3,4.0,2.0,2.0,624.0,222.0,1900.0,-37.8536,145.0173
1,u,390000.0,S,6.3,1.0,1.0,0.0,881.0,,,-37.8614,145.0222
3,h,1800000.0,PI,6.3,3.0,2.0,2.0,405.0,121.0,1910.0,-37.8545,145.0145
4,h,2200000.0,PI,6.3,4.0,1.0,2.0,495.0,163.0,1900.0,-37.8613,145.0264
1,u,324000.0,S,6.3,1.0,1.0,1.0,0.0,,,-37.8537,145.0114
6,h,5525000.0,S,6.3,5.0,3.0,4.0,1491.0,516.0,1935.0,-37.8602,145.013
2,h,1125000.0,S,6.3,3.0,1.0,2.0,169.0,,,-37.851,145.0161
3,h,2250000.0,S,6.3,3.0,3.0,1.0,301.0,,,-37.8511,145.0167
3,h,2360000.0,S,6.3,3.0,2.0,0.0,336.0,,,-37.8558,145.015
2,h,1900000.0,VB,6.3,2.0,2.0,0.0,207.0,,,-37.8571,145.0224
1,u,440000.0,SP,6.3,1.0,1.0,1.0,0.0,53.0,1970.0,-37.8531,145.0115
2,u,490000.0,PI,6.3,2.0,1.0,1.0,0.0,,1966.0,-37.8646,145.0247
3,h,2365000.0,S,6.3,3.0,2.0,1.0,316.0,,,-37.8521,145.019
3,h,1300000.0,VB,6.3,2.0,1.0,2.0,212.0,106.0,1900.0,-37.8542,145.0149
3,u,732000.0,S,6.3,3.0,2.0,2.0,0.0,,,-37.8597,145.0104
2,u,704000.0,SP,6.3,2.0,1.0,1.0,0.0,74.0,1969.0,-37.8573,145.0186
2,u,620000.0,VB,6.3,3.0,1.0,1.0,0.0,98.0,1970.0,-37.8596,145.0198
3,h,1900000.0,S,6.3,3.0,1.0,2.0,328.0,108.0,1900.0,-37.8559,145.0158
1,u,315000.0,SP,6.3,1.0,1.0,1.0,0.0,,,-37.8575,145.0174
1,u,450000.0,PI,6.3,1.0,1.0,1.0,0.0,,,-37.8509,145.0203
2,u,710000.0,S,6.3,2.0,1.0,1.0,2471.0,80.0,1970.0,-37.8573,145.0186
2,u,872000.0,S,6.3,2.0,1.0,1.0,1194.0,,1953.0,-37.8604,145.0147
2,u,598000.0,S,6.3,2.0,1.0,1.0,0.0,88.0,1970.0,-37.8593,145.0156
3,h,1285000.0,S,6.3,3.0,1.0,2.0,186.0,80.0,1920.0,-37.8554,145.0173
4,h,3660000.0,S,6.3,4.0,3.0,2.0,421.0,,,-37.8593,145.0275
2,u,520000.0,S,6.3,1.0,1.0,1.0,0.0,76.0,1970.0,-37.8618,145.0183
4,h,3625000.0,S,6.3,4.0,1.0,2.0,709.0,251.0,1900.0,-37.8574,145.016
4,h,4200000.0,VB,6.3,4.0,3.0,3.0,563.0,333.0,2000.0,-37.8582,145.0138
3,t,1101000.0,S,6.3,3.0,1.0,2.0,103.0,3.0,2000.0,-37.8542,145.0135
3,h,3512500.0,S,6.3,3.0,2.0,2.0,617.0,285.0,1998.0,-37.8557,145.0264
4,h,2000000.0,PI,6.3,4.0,3.0,4.0,544.0,,,-37.8611,145.0195
3,u,869000.0,S,6.3,2.0,1.0,1.0,0.0,91.0,1940.0,-37.853,145.0264
5,h,2810000.0,S,6.3,5.0,2.0,2.0,617.0,,,-37.8611,145.0271
2,u,565000.0,S,6.3,3.0,1.0,1.0,0.0,,,-37.8573,145.0112
1,u,567000.0,S,6.3,1.0,1.0,1.0,0.0,53.0,2013.0,-37.8549,145.0113
2,u,546000.0,SP,6.3,2.0,0.0,0.0,0.0,,,-37.8568,145.0161
2,u,471500.0,S,6.3,2.0,1.0,1.0,0.0,,1980.0,-37.8503,145.0185
2,u,455000.0,S,5.9,3.0,1.0,2.0,0.0,,,-37.7756,144.9165
